2026-01-21 12:03:57,609 param | DEBUG | true_color : ['true_color', '1'] 
2026-01-21 12:03:57,609 param | DEBUG | nearest : ['nearest', '0'] 
2026-01-21 12:03:57,609 param | DEBUG | invert : ['invert', '0'] 
2026-01-21 12:03:57,609 param | DEBUG | center : ['center', '1'] 
2026-01-21 12:03:57,609 param | DEBUG | autoaddapt : ['autoaddapt', '1'] 
2026-01-21 12:03:57,609 param | DEBUG | last_song : ['last_song', ['341', '/home/sand/Music/musique/pop/en/Aurora//AURORA - Runaway.mp3']] 
2026-01-21 12:03:57,609 param | DEBUG | auto_last_song : ['auto_last_song', '1'] 
2026-01-21 12:03:57,609 param | DEBUG | save_param : ['save_param', '1'] 
2026-01-21 12:03:57,609 param | DEBUG | quickselect : ['quickselect', '0'] 
2026-01-21 12:03:57,609 param | DEBUG | holders : ['holders', ['h', 'q', 'r', 'g', 'i', 'j', 'o', 'n', 'k', '+', '-', 'p', 'm', 'd', 's', 'a', 'c', 'b', 'y', 'l', 't', 'u', 'v', 'w', 'x', 'dl', 'z', 'e', 'f', 'bb', 'pl', 'add', 'played', 'fav']] 
2026-01-21 12:03:57,610 image | INFO | loading imgs
2026-01-21 12:03:57,610 image | DEBUG | found appdata/image/JPEG_example_flower.jpg
2026-01-21 12:03:57,610 image | INFO | loading imgs
2026-01-21 12:03:57,610 image | DEBUG | found appdata/image/SC/Door.png
2026-01-21 12:03:57,610 image | DEBUG | found appdata/image/SC/Mushroom_Normal3.png
2026-01-21 12:03:57,610 image | DEBUG | found appdata/image/SC/Mushroom_Normal4.png
2026-01-21 12:03:57,610 image | DEBUG | found appdata/image/SC/GIANTCHICKEN.png
2026-01-21 12:03:57,610 image | DEBUG | found appdata/image/SC/Panneauver._2.png
2026-01-21 12:03:57,610 image | INFO | loading imgs
2026-01-21 12:03:57,610 image | DEBUG | found appdata/image/doki/episketch.png
2026-01-21 12:03:57,610 image | DEBUG | found appdata/image/doki/officialno2.png
2026-01-21 12:03:57,610 image | DEBUG | found appdata/image/doki/zee.png
2026-01-21 12:03:57,611 image | DEBUG | found appdata/image/doki/paperdawn.png
2026-01-21 12:03:57,611 image | DEBUG | found appdata/image/doki/icon-libitina.png
2026-01-21 12:03:57,611 image | DEBUG | found appdata/image/doki/libitina.png
2026-01-21 12:03:57,611 image | DEBUG | found appdata/image/doki/jill.png
2026-01-21 12:03:57,611 image | DEBUG | found appdata/image/doki/monika2.png
2026-01-21 12:03:57,611 image | DEBUG | found appdata/image/doki/yuxine1.png
2026-01-21 12:03:57,611 image | DEBUG | found appdata/image/doki/fumo.png
2026-01-21 12:03:57,611 image | DEBUG | found appdata/image/doki/epiphany.png
2026-01-21 12:03:57,611 image | DEBUG | found appdata/image/doki/coco.png
2026-01-21 12:03:57,611 image | DEBUG | found appdata/image/doki/catfightNat.png
2026-01-21 12:03:57,611 image | DEBUG | found appdata/image/doki/catfightYuri.png
2026-01-21 12:03:57,611 image | DEBUG | found appdata/image/doki/beepy2.png
2026-01-21 12:03:57,611 image | DEBUG | found appdata/image/doki/digitalcat.png
2026-01-21 12:03:57,611 image | DEBUG | found appdata/image/doki/nik5cents2.png
2026-01-21 12:03:57,611 image | DEBUG | found appdata/image/doki/gf.png
2026-01-21 12:03:57,611 image | DEBUG | found appdata/image/doki/yuxine2.png
2026-01-21 12:03:57,611 image | DEBUG | found appdata/image/doki/yuri.png
2026-01-21 12:03:57,611 image | DEBUG | found appdata/image/doki/cammy2.png
2026-01-21 12:03:57,611 image | DEBUG | found appdata/image/doki/monika.png
2026-01-21 12:03:57,657 main | INFO | loading last played song
2026-01-21 12:03:58,052 param | INFO | saved param
